"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
CG11267,995.8945776,2.43E-09,1.37E-07,-0.024800167,0.960729917,-0.317646757,0.271787991,-1.187854396,1.07E-07
TotM,904.1998363,2.46E-09,1.38E-07,5.705047559,2.89E-10,5.974300375,1.51E-11,4.134923989,5.26E-06
CG14401,404.9106846,2.50E-09,1.39E-07,1.469839295,4.55E-06,1.416086413,6.71E-06,1.676495697,2.13E-08
CG8112,1776.715004,2.49E-09,1.39E-07,1.209636226,0.004389711,0.998279422,0.015693638,-0.697819035,0.124969091
CG17896,4713.152879,2.52E-09,1.39E-07,0.250361602,0.122058803,0.156224306,0.338855541,-0.412749174,0.001810686
Grp,296.8365968,3.11E-09,1.71E-07,0.622658309,0.222518323,1.489350508,0.000102292,1.914914777,9.78E-08
CG7997,1604.70856,3.15E-09,1.73E-07,0.820933848,0.000400146,0.844357017,0.000130919,-0.020317648,0.962917079
CG9689,747.7366666,3.32E-09,1.81E-07,1.766036391,0.000132494,1.739996256,8.80E-05,2.503600628,9.67E-10
NDUFS3,1171.583025,3.34E-09,1.81E-07,-0.414739165,0.038638109,-0.505071927,0.004368341,-0.914386777,1.12E-08
CG17026,223.1869327,3.38E-09,1.82E-07,-0.619350761,0.064916653,-0.733989361,0.012853921,-1.545727631,8.91E-09
Rab3,4753.10475,3.55E-09,1.90E-07,-0.717375162,0.001578223,-1.060857649,2.18E-07,-0.308058169,0.235964898
CG5644,271.7522892,3.60E-09,1.92E-07,-0.919981,0.00776075,-1.436006127,2.77E-06,-1.327798538,1.30E-05
CG4230,1688.022963,3.64E-09,1.94E-07,-0.668930066,0.000198329,-0.839559954,4.88E-07,-0.583390478,0.000807547
Gapdh2,14421.93025,3.77E-09,1.99E-07,-0.281864361,0.12970478,-0.233834204,0.178498373,-0.782730898,1.23E-08
Galphaq,2206.694009,3.79E-09,2.00E-07,0.20630621,0.493320416,-0.158143913,0.565479261,0.797142927,3.09E-05
CG2852,8422.631457,4.08E-09,2.14E-07,0.404383999,0.003866146,0.275458077,0.050429484,-0.223303013,0.139620784
Karl,1274.969871,4.30E-09,2.24E-07,1.433400949,6.94E-07,1.439550618,3.36E-07,1.093143316,0.000158101
CG9377,3875.897085,4.44E-09,2.30E-07,2.090664519,2.34E-08,1.734311844,4.47E-06,1.546252707,3.98E-05
CG10830,3754.548469,4.62E-09,2.39E-07,-0.695572822,0.000861513,-0.994602593,1.49E-07,-0.439109683,0.042210256
Dpy-30L1,264.0323529,4.70E-09,2.41E-07,-0.122801256,0.726173911,-0.17921906,0.511499351,-1.074023375,9.23E-08
CG3731,5490.318436,5.15E-09,2.63E-07,-0.68869479,2.47E-05,-0.256289934,0.172906779,-0.703558485,4.52E-06
CG10103,1425.581106,5.32E-09,2.70E-07,0.585722734,1.65E-05,0.60429911,3.92E-06,0.597359616,3.31E-06
CG1635,533.6396265,5.50E-09,2.78E-07,-0.599012423,0.000195118,-0.49134849,0.001753179,-0.746891602,4.24E-07
CG7203,123.0976723,5.78E-09,2.91E-07,-2.721119453,0.018141557,-3.85830457,0.000162563,-5.117646669,2.96E-07
unk,1984.447032,5.83E-09,2.93E-07,0.131259603,0.705742429,-0.235254966,0.36536271,0.763760736,0.000135616
CG6310,305.9451097,5.90E-09,2.94E-07,1.423619274,1.38E-05,1.372010432,1.69E-05,0.387946941,0.361566805
unc-13,15368.42531,5.99E-09,2.98E-07,-0.215784034,0.47334539,-0.397471735,0.074586757,0.568600607,0.00641063
GABA-B-R2,2011.381795,6.38E-09,3.16E-07,-0.944586309,1.49E-05,-0.959947307,5.45E-06,-0.521283403,0.025488331
aay,6221.964294,6.49E-09,3.20E-07,1.318192372,3.86E-06,1.426167603,2.60E-07,1.222455197,9.12E-06
RpL15,14603.30255,6.63E-09,3.25E-07,0.58757588,0.003108462,0.267697224,0.222449477,-0.339132101,0.108097037
CG9766,147.5581434,7.04E-09,3.42E-07,-1.125348584,0.000638615,-1.533411635,4.49E-07,-0.764361998,0.022168648
RpL21,10200.16652,7.04E-09,3.42E-07,0.643070436,0.000151122,0.243907076,0.211591069,-0.144692995,0.520040576
CG8229,958.2237872,7.19E-09,3.48E-07,0.099385625,0.79048039,-0.324012831,0.183844043,-0.933443467,2.94E-06
Csp,4173.973404,7.39E-09,3.54E-07,-0.431803114,0.000633274,-0.598687673,2.18E-07,-0.307488967,0.016393511
Uhg4,90.63623463,7.38E-09,3.54E-07,0.705388924,0.237094048,1.185707659,0.011173058,2.195526278,7.37E-08
nvy,644.3123121,7.47E-09,3.57E-07,-0.736537812,0.00038256,-0.94915097,6.72E-07,-0.356995926,0.118615917
Cyt-c-p,4836.890214,7.83E-09,3.72E-07,-0.242386388,0.342622532,-0.484600803,0.012314716,-0.932784329,4.79E-08
Chi,935.9757085,7.91E-09,3.74E-07,-0.242036597,0.084833804,-0.225085395,0.078001745,-0.613905768,2.05E-08
CG4766,259.3179921,7.96E-09,3.75E-07,-0.711807139,0.005797281,-1.17434541,2.62E-07,-0.767447818,0.001360201
Srp14,308.9330125,8.05E-09,3.77E-07,0.621992206,0.000268027,0.332404545,0.06802486,-0.200697666,0.366516625
CG9629,1093.705258,8.11E-09,3.79E-07,0.058714023,0.915094313,-0.026428858,0.958013942,-1.238047855,1.52E-06
Hcf,2954.317136,8.80E-09,4.09E-07,-0.17659572,0.207437187,-0.278871991,0.014496894,0.242869548,0.039169283
wb,943.8531277,8.96E-09,4.15E-07,0.927558477,0.00332495,1.52994865,3.10E-08,1.078593382,0.000169203
CG32017,4950.903313,9.02E-09,4.16E-07,0.098295339,0.887814239,-0.485087641,0.252531465,1.201204341,0.000560676
CG6523,591.3838836,9.59E-09,4.40E-07,0.253568394,0.131976147,0.128492624,0.465560003,-0.450032906,0.001392216
CG15628,1817.241693,1.05E-08,4.81E-07,-0.50538348,0.063972975,-0.985710357,9.17E-06,0.073687995,0.844757777
CG2469,1753.170928,1.08E-08,4.93E-07,-0.363443804,0.009613735,-0.465824086,0.000217343,-0.616937966,2.25E-07
CG12502,1505.167907,1.10E-08,4.95E-07,-0.713014275,0.000183999,-0.859339802,1.30E-06,-0.378048291,0.065065757
RpL36A,4740.773301,1.10E-08,4.95E-07,0.764750278,0.000237891,0.386946088,0.083806401,-0.177749706,0.518540634
VhaM9.7-a,1553.499496,1.13E-08,5.06E-07,-0.158294846,0.545877493,-0.746281171,5.53E-06,-0.611334883,0.000251123
CG8636,1996.966838,1.13E-08,5.07E-07,0.291352763,0.228849967,0.037045375,0.912576963,-0.660226015,0.000339628
CG9140,3746.950369,1.15E-08,5.12E-07,-0.423449492,0.010741212,-0.248273004,0.148262052,-0.754255149,5.83E-08
CG6812,860.71469,1.19E-08,5.28E-07,-0.68596616,0.002514406,-0.752986711,0.000367005,-1.006962017,4.43E-07
RpS15,13533.79914,1.21E-08,5.35E-07,0.287482952,0.167672675,0.251504429,0.191913704,-0.481916289,0.004327376
ATPsyn-Cf6,2919.220089,1.34E-08,5.90E-07,-0.176887848,0.614426088,-0.40139789,0.098758808,-1.082616041,8.97E-08
Syngr,2708.717854,1.54E-08,6.76E-07,-0.793939803,0.001567751,-1.154597169,3.36E-07,-0.499209002,0.055297099
cac,4059.042483,1.56E-08,6.83E-07,0.120080472,0.807343676,-0.087291757,0.845781207,1.065027753,4.30E-05
CG2016,2191.875009,1.57E-08,6.84E-07,-0.713024884,0.07408282,-1.201753937,0.000296213,-1.581438615,3.81E-07
CG10340,567.6591086,1.61E-08,6.95E-07,-0.692323508,0.004609442,-0.549609601,0.021111245,-1.134569071,8.29E-08
CG5903,2515.880503,1.62E-08,6.95E-07,-0.210731003,0.35553071,-0.38511632,0.027358188,-0.819227392,7.62E-08
CG6044,2464.358791,1.61E-08,6.95E-07,-0.791730612,0.001920777,-1.092476295,2.27E-06,-0.882377193,0.000166866
Cyp309a2,469.3322054,1.65E-08,7.06E-07,1.409085909,0.005989631,2.258666781,4.47E-07,0.642513681,0.268689081
CG7582,421.0157985,1.67E-08,7.14E-07,-0.988605407,0.000307519,-1.103446849,1.85E-05,-1.002009884,0.000105244
P5CDh1,6176.044648,1.71E-08,7.27E-07,-0.527449587,0.003469555,-0.81095277,4.07E-07,-0.547302401,0.001107099
nrv3,32078.21969,1.74E-08,7.35E-07,-0.60779549,0.028307354,-1.226431092,1.00E-07,-0.408506588,0.14749944
CoVb,3319.886397,1.80E-08,7.60E-07,-0.225522073,0.446189733,-0.491640263,0.022088761,-0.998884587,1.09E-07
14-3-3zeta,27605.11966,1.89E-08,7.96E-07,-0.264404278,0.028417633,-0.528431261,1.42E-07,-0.303516241,0.005022785
ced-6,7273.089227,2.16E-08,9.05E-07,0.704527845,9.46E-07,0.476747608,0.001394562,0.239980858,0.16719773
CG6123,1486.462942,2.22E-08,9.27E-07,-0.534841585,0.108400822,-0.784240642,0.005082218,0.456530024,0.147248183
CG3597,644.9236955,2.50E-08,1.04E-06,-0.307022028,0.717497309,-0.774002017,0.185829658,-2.613176741,2.17E-08
Obp99b,818.4330176,2.60E-08,1.08E-06,3.032636108,0.001783392,4.440796038,3.41E-07,5.149209647,5.47E-10
kcc,4928.72876,2.68E-08,1.10E-06,-0.885080694,0.001679219,-1.24348882,1.03E-06,-0.404302274,0.202310944
Irc,5591.546959,2.73E-08,1.12E-06,0.95512084,0.001348104,1.344915578,5.39E-07,1.232277097,3.28E-06
Fcp1,712.8756273,2.77E-08,1.13E-06,-0.648521702,0.00285506,-0.915734597,2.90E-06,-0.740915033,0.000201672
l(3)03670,1205.034624,2.89E-08,1.18E-06,-0.140284899,0.501668718,-0.233337007,0.137831556,-0.680958689,1.67E-07
Sem1,570.2251543,2.92E-08,1.19E-06,0.862870981,4.55E-06,0.497169665,0.013497736,0.130623334,0.643666778
CG15068,4003.315761,2.94E-08,1.19E-06,1.670364535,6.94E-07,0.953018325,0.007924165,0.567752886,0.161062627
CtsB1,7230.305701,2.98E-08,1.20E-06,0.746545242,0.011326833,1.319574243,2.04E-07,1.000468588,0.000107403
RpS11,13433.52881,2.99E-08,1.20E-06,0.417994448,0.072478009,0.447136647,0.031887009,-0.4130358,0.053536016
D,469.0323023,3.11E-08,1.25E-06,-0.727351467,0.000181307,-0.798738993,1.20E-05,-0.640907834,0.000637578
ND75,4111.780802,3.17E-08,1.26E-06,-0.604472456,1.40E-06,-0.28151098,0.040546798,-0.446221796,0.000412731
CG18596,381.9245476,3.23E-08,1.28E-06,0.190450589,0.564560913,0.548081674,0.011974991,0.958220778,8.91E-07
CG13624,4992.180516,3.27E-08,1.29E-06,0.475988692,0.020806433,0.490594368,0.009700654,0.910393723,5.88E-08
CG13920,581.142431,3.31E-08,1.31E-06,-0.909763365,0.000186943,-0.926784885,6.48E-05,-0.900049656,9.20E-05
Cha,1570.846477,3.34E-08,1.31E-06,-0.766784307,0.001762728,-1.048899775,2.47E-06,-0.282787891,0.328020128
IA-2,64907.78079,3.46E-08,1.35E-06,-0.070874832,0.93318006,-0.519537691,0.305076848,1.321933537,0.001365672
nAChRalpha2,763.9861639,3.71E-08,1.44E-06,-0.738898396,0.001578223,-1.011210446,1.94E-06,-0.714861226,0.001259735
CG33543,933.7330886,3.84E-08,1.49E-06,-0.668025001,0.003025737,-1.005735728,5.39E-07,-0.543343679,0.013958078
CG1970,2697.198045,3.90E-08,1.51E-06,-0.657724191,4.26E-05,-0.579222413,0.000225243,-0.612223193,6.64E-05
CG5890,1157.413025,3.93E-08,1.52E-06,-0.493946849,0.109136158,-0.805050058,0.001572839,0.343634264,0.2619171
pho,1853.82642,3.95E-08,1.52E-06,0.084755688,0.719562172,-0.08913038,0.657095797,0.531073008,7.28E-05
Mal-B2,5196.29861,4.01E-08,1.54E-06,1.416178681,0.001692833,1.77302177,1.85E-05,0.224077457,0.732043992
CG15704,99.03894143,4.09E-08,1.56E-06,-1.209300435,0.003565449,-1.241153677,0.001404517,-1.778486485,2.19E-06
NtR,1697.479185,4.16E-08,1.58E-06,1.155659903,0.000427528,1.523786893,4.36E-07,1.342706449,7.40E-06
jdp,8205.682334,4.32E-08,1.64E-06,-0.520648221,0.009672943,-0.892302136,2.97E-07,-0.446268939,0.02141568
Dyrk3,2765.601917,4.42E-08,1.67E-06,0.098754269,0.728730755,-0.056723938,0.836659406,0.654441644,4.50E-05
metro,866.3249559,4.45E-08,1.68E-06,-0.792697062,0.000296903,-0.917195288,7.51E-06,-0.329242691,0.189351324
CG4769,4778.773711,4.48E-08,1.68E-06,-0.428147777,0.023582058,-0.404307005,0.021761475,-0.822251449,9.65E-08
CG5548,1103.381168,4.49E-08,1.68E-06,-0.162654409,0.634081324,-0.1316393,0.667199724,-0.994571956,6.16E-07
Ahcy13,2493.160885,4.54E-08,1.69E-06,1.076977,0.003768135,1.444659185,1.68E-05,0.170808605,0.748946294
CG5955,1241.900495,4.56E-08,1.69E-06,1.402503605,2.29E-05,1.012360748,0.002638596,0.187646932,0.709344458
CG7130,131.1354088,4.58E-08,1.70E-06,1.75029175,0.00503335,2.040432263,0.000355131,2.959876112,1.66E-08
crq,4196.803587,4.63E-08,1.71E-06,0.766052911,2.22E-05,0.770830906,9.55E-06,0.731824911,2.09E-05
CG5214,2645.684646,4.77E-08,1.75E-06,-0.286618823,0.205411986,-0.323453373,0.098758808,-0.871374093,9.78E-08
CG17514,5443.682642,4.99E-08,1.83E-06,0.139557773,0.611582361,0.153516109,0.49897865,0.749138469,3.18E-06
maf-S,1106.468413,5.57E-08,2.03E-06,0.213482659,0.324314606,0.058297363,0.817948457,-0.554159993,0.000489293
CG13204,464.1153557,5.65E-08,2.05E-06,-0.478942608,0.070371903,-1.029039011,1.54E-06,-0.758047843,0.000627156
CG33926,3088.247021,5.68E-08,2.05E-06,3.042746218,1.38E-07,2.618919348,5.69E-06,1.826724907,0.00248574
RpL26,12179.46243,5.68E-08,2.05E-06,0.798914959,0.000225483,0.557973883,0.011215364,-0.056346904,0.877037438
CG42666,736.2031754,6.30E-08,2.27E-06,0.65215364,0.007026797,0.787031428,0.000336741,1.071159967,1.64E-07
CG30289,52.38905081,6.44E-08,2.31E-06,3.139288896,2.52E-06,3.019680918,3.97E-06,3.266133986,2.28E-07
CG9172,2227.837581,6.61E-08,2.36E-06,-0.103205185,0.639794134,-0.325357209,0.024000807,-0.625484464,1.04E-06
Piezo,1617.840134,7.04E-08,2.51E-06,0.144732199,0.541382565,0.252004877,0.151548555,0.694034059,1.27E-06
fne,5601.718837,7.20E-08,2.56E-06,-0.117972792,0.843881378,-0.652536829,0.060733346,0.848525552,0.010752609
Ork1,959.0236451,7.72E-08,2.73E-06,-0.744471672,0.001462873,-0.311815605,0.233861932,-0.984811577,2.41E-06
RpS27,12416.96809,7.74E-08,2.73E-06,0.835878149,9.53E-05,0.481278684,0.032348398,-0.021231559,0.957930985
CR44024,533.4483051,7.82E-08,2.75E-06,-0.111282962,0.820865128,-0.619292884,0.028945808,0.653896626,0.018941045
CG14989,11211.1108,8.09E-08,2.84E-06,-0.264878264,0.502909188,-0.796606361,0.002826212,0.455547749,0.131163077
unc-13-4A,1484.436818,8.44E-08,2.95E-06,-0.717498738,0.012560616,-0.773529343,0.003484782,0.248365214,0.471813308
Adar,2757.156278,8.85E-08,3.09E-06,-0.36165072,0.279568956,-0.589854205,0.026528922,0.525435012,0.055112211
Eip78C,685.2981629,9.05E-08,3.14E-06,-1.003460285,0.000446468,-1.083918297,6.23E-05,-0.226791796,0.548171358
Nipped-A,3329.495692,9.16E-08,3.17E-06,-0.036233109,0.948012664,-0.079186234,0.860510419,0.960248987,0.000227587
CG8142,41.41481295,9.52E-08,3.27E-06,-2.24842,1.34E-05,0.042776577,0.956117053,-0.308322353,0.622369622
mge,1585.472376,9.50E-08,3.27E-06,-0.203726836,0.471259676,-0.465368797,0.021182817,-0.893040586,6.35E-07
CG32700,1249.106621,9.79E-08,3.36E-06,-0.326268945,0.314737286,-0.744128811,0.002133493,0.368214738,0.191268899
RpL32,8778.480734,1.04E-07,3.54E-06,0.014784792,0.976875029,0.550132319,0.027358188,-0.587187675,0.018017672
Cpr49Ac,22.70149494,1.04E-07,3.56E-06,-2.066116388,0.399926951,-1.736046576,0.402265762,4.024271694,0.004948706
Argk,23459.65004,1.06E-07,3.61E-06,-0.681226517,0.00095739,-0.440927589,0.036461074,-0.882583712,1.61E-06
eIF-3p40,4312.464386,1.08E-07,3.67E-06,0.217737334,0.538556561,0.184861101,0.554592214,-0.797661488,0.000428605
CG3192,1247.582329,1.11E-07,3.76E-06,-0.229288377,0.315679631,-0.455849857,0.008841944,-0.784278756,7.03E-07
Sardh,449.7589865,1.14E-07,3.85E-06,1.260633217,0.003195693,1.372253881,0.000569819,-0.118714644,0.861301605
CR45102,971.6588132,1.19E-07,3.98E-06,0.403689153,0.200699693,-0.039992233,0.927925475,0.972056442,3.69E-05
bi,742.5907367,1.21E-07,4.06E-06,-0.019602537,0.970060631,-0.302057483,0.296045944,0.746552008,0.00148
CG4328,147.3206027,1.22E-07,4.07E-06,-0.705439905,0.016246492,-1.187691474,3.55E-06,-0.83789236,0.001714575
CG10863,3271.442338,1.24E-07,4.11E-06,-0.124936831,0.805642004,-0.269485989,0.460341065,-1.286057828,1.02E-06
CG6439,2929.356238,1.26E-07,4.19E-06,-0.522630684,0.000268859,-0.380575115,0.008290738,-0.599526543,5.21E-06
CG18081,733.8830109,1.29E-07,4.26E-06,0.580510436,0.003078552,0.195166672,0.403564448,-0.280863425,0.208150599
endos,1819.32617,1.30E-07,4.27E-06,0.066827235,0.808123327,-0.166754815,0.385060243,-0.616408997,2.48E-05
CG31955,116.4274751,1.34E-07,4.41E-06,2.128387653,8.06E-07,1.767474032,4.82E-05,1.536590002,0.000517162
eIF-4E,4678.269005,1.35E-07,4.41E-06,-0.084428351,0.730873429,-0.258468966,0.109074059,-0.648911439,1.62E-06
mei-P26,8800.542178,1.43E-07,4.68E-06,-0.066472384,0.936359434,-0.474401085,0.355465179,1.272244778,0.001980678
beat-Va,523.5650337,1.45E-07,4.72E-06,-0.367129512,0.245261101,-1.028164497,1.19E-05,0.027184786,0.950660519
LSm7,131.5517883,1.48E-07,4.80E-06,1.160456125,2.97E-05,0.58779175,0.052358922,0.079344253,0.874324318
CG4409,1588.858212,1.49E-07,4.80E-06,-0.503349276,0.112507557,-0.707844538,0.008268013,-1.222118721,4.13E-07
ITP,4466.916207,1.49E-07,4.80E-06,-0.458952054,0.022147192,-0.743730465,1.56E-05,-0.679549787,7.30E-05
CG11455,789.6900725,1.56E-07,5.00E-06,-0.204231374,0.457012858,-0.40360835,0.045294635,-0.881119458,6.79E-07
sm,7766.41289,1.56E-07,5.01E-06,-0.310531486,0.521313834,-0.816224857,0.013879339,0.645393229,0.065032943
CR45923,69.34404787,1.63E-07,5.20E-06,1.661064973,5.55E-05,1.292188023,0.001799871,0.243679639,0.711553767
msn,4469.347981,1.69E-07,5.39E-06,0.221242865,0.35797726,0.590000571,0.000648603,0.735702174,6.58E-06
CG3955,673.7217064,1.70E-07,5.40E-06,-0.644532243,0.009709271,-0.844122781,0.000162563,-0.942807313,1.39E-05
CR32194,35.85542183,1.80E-07,5.69E-06,2.745438494,2.67E-06,1.735732225,0.005815849,2.477299652,1.61E-05
CG7381,162.4515641,1.88E-07,5.95E-06,-0.952286806,0.000434099,-1.085542528,1.84E-05,-0.539327749,0.057940279
CG18563,77.76448351,1.90E-07,5.98E-06,-0.777362192,0.606215749,0.864377132,0.466896388,3.122634284,0.000434137
CG34391,814.4450423,1.91E-07,5.98E-06,-0.470867922,0.152857653,-0.887871555,0.000770345,0.27947388,0.410250436
CG42876,344.6049099,1.90E-07,5.98E-06,2.85991684,5.96E-07,2.399601928,3.00E-05,1.661422293,0.006377893
Sap47,18490.06689,1.92E-07,5.98E-06,-0.482089139,0.066578239,-0.960814581,6.54E-06,-0.095008638,0.785705808
CG13585,1953.886094,1.94E-07,6.04E-06,0.214473446,0.272392471,-0.041502991,0.866666611,-0.48229137,0.001107807
CG3214,978.5081385,2.01E-07,6.25E-06,-0.342361274,0.212657427,-0.35714698,0.140512906,-1.019973686,3.50E-07
CG5261,3746.943854,2.04E-07,6.32E-06,-0.463059947,0.076932218,-0.460342986,0.052212017,-1.043509847,3.02E-07
RhoGAP100F,3404.025561,2.05E-07,6.32E-06,-0.239964994,0.575498645,-0.411049684,0.199184613,0.74106264,0.00895873
slgA,5692.417383,2.05E-07,6.32E-06,-0.902300849,0.00031993,-1.013675291,1.76E-05,-0.613067628,0.016822129
Pde6,2036.911404,2.08E-07,6.39E-06,-0.465938788,0.020220911,-0.626908209,0.000395868,0.074568108,0.791256552
Nipsnap,2912.727036,2.10E-07,6.44E-06,0.353163132,0.046764348,0.002481826,0.992388804,-0.368512497,0.023253261
RpL24,15326.13023,2.13E-07,6.49E-06,0.265561479,0.271447398,0.212536537,0.348159938,-0.523415998,0.004802985
SPH93,663.6306129,2.13E-07,6.49E-06,-0.781595814,0.632519895,0.974732182,0.456314191,3.503244223,0.000398281
RpLP0,20245.82847,2.16E-07,6.56E-06,0.10472787,0.786687769,0.203077117,0.473604119,-0.756611272,0.000392258
CG9578,268.3061635,2.19E-07,6.61E-06,-0.20473102,0.493735569,-0.316546341,0.167398659,-0.960788776,7.83E-07
Tep2,4862.669731,2.19E-07,6.61E-06,0.664742022,0.008567393,0.824192378,0.000326679,1.072448745,6.12E-07
CG8613,1848.809221,2.21E-07,6.64E-06,-0.674610079,5.43E-05,-0.621890607,0.000128388,-0.480393455,0.004357654
CG12858,4186.24015,2.22E-07,6.65E-06,-0.86520356,0.001450238,-1.062072346,2.14E-05,-0.290694284,0.376106338
nAChRalpha6,1977.465793,2.23E-07,6.67E-06,-0.153703839,0.776279628,-0.505102008,0.148906164,0.836043149,0.008222074
CG18619,900.1898957,2.26E-07,6.74E-06,0.811277397,3.66E-05,0.266202024,0.257678798,0.078511318,0.804189336
CG42784,2687.958925,2.28E-07,6.78E-06,-0.420744296,0.237066711,-0.629830623,0.029560601,0.533820517,0.07768437
Dap160,2954.843212,2.30E-07,6.82E-06,-0.451467918,0.071347436,-0.652957189,0.002178612,0.22663963,0.403521881
CG14408,1858.360943,2.32E-07,6.87E-06,-0.302991117,0.062606678,-0.644885191,8.96E-07,-0.330435515,0.024251658
Pvr,2369.220562,2.34E-07,6.91E-06,0.843951232,0.005838156,1.296821782,1.51E-06,1.073459673,7.93E-05
Syn2,1252.36108,2.38E-07,7.02E-06,-0.747325292,0.004856386,-0.894083876,0.000239579,-0.00884329,0.984189341
mRpL17,254.1844409,2.41E-07,7.07E-06,-0.407752834,0.068004963,-0.512770996,0.008172826,-0.892410998,9.61E-07
CG12859,738.4805389,2.43E-07,7.10E-06,-0.10119055,0.821709944,-0.452545614,0.093353656,-1.08201458,2.94E-06
RpL30,4724.322516,2.45E-07,7.17E-06,0.617482916,0.003892902,0.534955121,0.009700654,-0.152681744,0.585954277
CG1909,2121.837164,2.51E-07,7.31E-06,-0.82070639,0.001301672,-1.048835399,6.72E-06,-0.493262934,0.06460607
FK506-bp2,3517.791836,2.52E-07,7.31E-06,0.289553371,0.514488485,-0.064487745,0.89932169,-1.073894921,0.000166866
CG5022,197.7352319,2.53E-07,7.32E-06,-0.659161349,0.004966189,-0.95234042,6.18E-06,-0.29863523,0.255932698
CG42709,887.6399697,2.61E-07,7.54E-06,0.057943886,0.858774003,-0.422872094,0.018414381,-0.630532373,0.000173076
Mp,1925.613543,2.65E-07,7.63E-06,0.052237905,0.911915681,0.01394124,0.974098843,0.877322349,0.000107456
CG42322,1761.770397,2.74E-07,7.87E-06,-0.706039232,0.001762387,-0.849254233,4.75E-05,-0.18232784,0.529006343
drpr,3364.946485,2.87E-07,8.22E-06,0.572617299,0.12735768,0.944404663,0.002154947,1.383883629,1.02E-06
snoRNA:lola-b,41.53774488,3.00E-07,8.57E-06,0.444142285,0.639128229,1.058435912,0.090329321,2.328567803,8.03E-06
RpL18A,15390.57403,3.02E-07,8.60E-06,0.492978981,0.157142745,0.476248574,0.129672508,-0.677920179,0.021390082
CG14015,532.7787727,3.07E-07,8.73E-06,-1.072500457,7.01E-05,-0.966854953,0.000229528,-0.751332764,0.005965617
CSN6,382.4223603,3.09E-07,8.78E-06,0.174206327,0.586449015,0.051477593,0.882226139,-0.759470929,0.000229784
nwk,3748.003536,3.11E-07,8.81E-06,-0.866119173,0.001951951,-1.12986828,9.09E-06,-0.420170213,0.175802468
CG7708,2207.060224,3.20E-07,9.04E-06,-0.782804968,0.00496956,-0.949269666,0.000195822,-0.037226822,0.93596105
RhoGAP102A,366.092761,3.25E-07,9.15E-06,0.380086325,0.1244655,-0.096447692,0.751997019,0.733060332,0.000158466
mRpL50,302.9419651,3.30E-07,9.26E-06,-0.450568364,0.117964432,-0.43717261,0.090177102,-1.123091554,5.71E-07
CG30154,81.26521334,3.35E-07,9.37E-06,1.776957272,0.001063127,1.739238198,0.000749086,2.455497263,2.26E-07
RpL9,11731.65984,3.35E-07,9.37E-06,0.614798601,0.002310041,0.255646496,0.263106131,-0.213899296,0.37790594
nmo,2043.789278,3.46E-07,9.65E-06,-0.449058603,0.233752602,-0.778617643,0.009556214,0.474696429,0.159079234
Unr,7059.207434,3.52E-07,9.77E-06,0.354165644,0.339355273,-0.1069025,0.801806102,0.991014293,0.000153991
CG3560,1592.346887,3.86E-07,1.07E-05,-0.234192486,0.485591374,-0.464292652,0.057858945,-1.024734218,1.32E-06
CG44325,2091.903013,3.91E-07,1.08E-05,1.095510237,0.000196538,1.292201482,2.77E-06,0.932244675,0.00113493
Cp1,10944.87789,4.03E-07,1.11E-05,0.786257442,0.001635837,1.087595039,1.51E-06,0.721894421,0.002414907
trus,388.2122005,4.10E-07,1.13E-05,-0.964022866,3.66E-05,-0.708635587,0.0023407,-0.738498358,0.001415887
Pgm,4105.145619,4.20E-07,1.15E-05,-0.186082532,0.694297746,0.163043361,0.692825102,-1.093620415,5.52E-05
beat-VI,856.3917282,4.36E-07,1.19E-05,-0.706073305,0.006276229,-1.01247349,1.06E-05,-0.278186665,0.353748992
Cyp4e3,202.8053904,4.39E-07,1.20E-05,1.481292283,0.140073302,1.582224961,0.073570475,3.619853705,1.36E-06
Sema-1b,2428.203876,4.40E-07,1.20E-05,0.342648446,0.093451544,0.427071792,0.015470135,0.770704659,9.37E-07
HLH106,5452.00566,4.47E-07,1.21E-05,0.359458579,0.107001583,0.813883048,3.34E-06,0.572569206,0.001707501
Shal,1700.788074,4.59E-07,1.24E-05,-0.686110998,0.009709271,-0.894447775,0.000172872,-0.024164251,0.957954103
CG10804,1301.72944,4.64E-07,1.25E-05,-0.815385404,0.009751699,-1.239537614,7.65E-06,-0.32907535,0.366434046
CR43283,489.5533541,4.73E-07,1.28E-05,0.009493512,0.988432166,-0.917198243,0.006040149,-1.189763292,0.000187165
ox,950.2228755,4.87E-07,1.31E-05,0.058270016,0.918478031,-0.382649119,0.256235709,-1.150138991,2.04E-05
slo,5867.7063,4.87E-07,1.31E-05,0.072092176,0.895300468,-0.291552971,0.403701347,0.869056046,0.001544279
igl,5498.360574,4.94E-07,1.32E-05,-0.558752982,0.027079144,-0.999038499,2.80E-06,-0.329432331,0.215210675
cta,728.5478143,5.07E-07,1.35E-05,0.412502241,0.012455588,0.284409603,0.083065515,0.670113618,1.43E-06
CG30419,475.2983579,5.19E-07,1.38E-05,-0.791750015,0.021813064,-1.121801247,0.00020944,0.045905607,0.933069141
