treat,treat_no,sub,no,death_date,time,exclude,censor,censor2,censor3,source_pop,eclosion_date,Experiment_date,age,exp_age,tot_eggs,tot_offspring,viability,avg_eggs,avg_offspring,random,m.off.tot,m.age,m.off.avg,m.egg.tot,m.egg.avg,eggs_7d,off_7d,thorax,wing
100% SYA,2,L,74,08/08/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,78,74,503,362,0.719681909,6.45,4.64,ta,127,8,15.88,152,19,115,54,NA,NA
100% SYA,2,L,75,05/06/2018,pm,n,1,1,0,1,22/05/2018,26/05/2018,14,10,100,89,0.89,7.14,6.36,ta,0,0,NA,0,NA,100,89,1.04,1.55
120% SYA,3,L,76,29/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,68,64,430,319,0.741860465,6.32,4.69,ta,99,7,14.14,132,18.86,101,94,1.08,NA
20% SYA,1,L,77,07/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,77,73,405,328,0.809876543,5.26,4.26,tb,122,8,15.25,156,19.5,74,69,NA,NA
120% SYA,3,L,78,31/05/2018,am,n,0,0,0,2,22/05/2018,26/05/2018,9,5,73,65,0.890410959,8.11,7.22,tc,0,0,NA,0,NA,73,65,NA,NA
120% SYA,3,L,79,27/07/2018,pm,n,1,0,1,3,22/05/2018,26/05/2018,66,62,537,428,0.797020484,8.14,6.48,tb,147,7,21,183,26.14,56,31,0.97,1.515
100% SYA,2,L,80,01/07/2018,pm,n,1,1,0,2,22/05/2018,26/05/2018,40,36,112,61,0.544642857,2.8,1.53,tb,19,4,4.75,31,7.75,19,10,1.055,1.525
20% SYA,1,L,81,02/08/2018,am,n,1,0,1,1,21/05/2018,26/05/2018,73,68,511,432,0.845401174,7,5.92,tc,135,8,16.88,159,19.88,84,81,0.935,1.365
100% SYA,2,L,82,19/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,58,54,528,470,0.890151515,9.1,8.1,tb,141,6,23.5,155,25.83,133,118,1.02,1.48
20% SYA,1,L,83,27/07/2018,am,n,1,0,1,3,21/05/2018,26/05/2018,67,62,426,396,0.929577465,6.36,5.91,ta,154,7,22,155,22.14,56,54,0.9,1.435
100% SYA,2,L,84,18/07/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,57,53,135,107,0.792592593,2.37,1.88,ta,21,6,3.5,36,6,69,62,1.06,1.525
